Date,Close,High,Low,Open,Volume
,ADD,ADD,ADD,ADD,ADD
2023-04-24,177.0,180.0,170.0,170.0,437
2023-04-25,171.0,176.0,165.0,175.0,498
2023-04-26,170.0,175.0,167.0,173.0,120
2023-04-27,163.0,174.0,163.0,168.0,978
2023-04-28,169.0,177.0,166.0,175.0,188
2023-05-01,156.0,170.0,151.0,165.0,1696
2023-05-02,168.0,173.0,157.0,159.0,1101
2023-05-03,159.0,175.0,158.0,163.0,138
2023-05-04,162.0,165.0,156.0,156.0,133
2023-05-05,155.0,169.0,155.0,159.0,716
2023-05-08,134.0,161.0,92.0,155.0,5102
2023-05-09,122.0,134.0,119.0,134.0,311
2023-05-10,115.0,125.0,108.0,119.0,1282
2023-05-11,111.0,119.0,110.0,112.0,187
2023-05-12,105.0,111.0,101.0,108.0,637
2023-05-15,110.0,114.0,107.0,107.0,158
2023-05-16,111.0,116.0,110.0,115.0,305
2023-05-17,109.0,114.0,105.0,109.0,434
2023-05-18,113.0,114.0,107.0,112.0,766
2023-05-19,113.0,115.0,109.0,113.0,46
2023-05-22,123.0,124.0,111.0,111.0,679
2023-05-23,121.0,128.0,118.0,123.0,246
2023-05-24,122.0,124.0,117.0,123.0,107
2023-05-25,123.0,123.0,117.0,121.0,202
2023-05-26,123.0,124.0,120.0,121.0,155
2023-05-30,129.0,129.0,124.0,126.0,273
2023-05-31,131.0,132.0,126.0,131.0,416
2023-06-01,122.0,134.0,121.0,134.0,263
2023-06-02,119.0,126.0,119.0,125.0,186
2023-06-05,121.0,122.0,113.0,115.0,360
2023-06-06,116.0,123.0,116.0,123.0,117
2023-06-07,119.0,120.0,116.0,120.0,134
2023-06-08,130.0,160.0,119.0,119.0,5659
2023-06-09,132.0,140.0,124.0,132.0,1410
2023-06-12,136.0,142.0,129.0,132.0,369
2023-06-13,120.0,137.0,120.0,132.0,485
2023-06-14,121.0,133.0,121.0,126.0,399
2023-06-15,124.0,130.0,121.0,121.0,220
2023-06-16,146.0,146.0,120.0,134.0,858
2023-06-20,132.0,151.0,132.0,151.0,612
2023-06-21,127.0,139.0,121.0,133.0,159
2023-06-22,126.0,126.0,121.0,126.0,170
2023-06-23,120.0,125.0,116.0,124.0,208
2023-06-26,116.0,121.0,116.0,117.0,190
2023-06-27,113.0,118.0,112.0,114.0,215
2023-06-28,120.0,124.0,111.0,114.0,474
2023-06-29,120.0,125.0,115.0,116.0,231
2023-06-30,140.0,143.0,123.0,125.0,1003
2023-07-03,138.0,140.0,129.0,136.0,172
2023-07-05,134.0,139.0,130.0,138.0,59
2023-07-06,126.0,131.0,124.0,127.0,295
2023-07-07,126.0,129.0,123.0,126.0,90
2023-07-10,127.0,134.0,123.0,125.0,89
2023-07-11,130.0,130.0,126.0,126.0,78
2023-07-12,129.0,135.0,121.0,130.0,127
2023-07-13,126.0,134.0,126.0,130.0,47
2023-07-14,131.0,134.0,125.0,125.0,43
2023-07-17,131.0,135.0,123.0,127.0,667
2023-07-18,129.0,132.0,125.0,127.0,96
2023-07-19,129.0,130.0,122.0,130.0,184
2023-07-20,129.0,133.0,123.0,132.0,155
2023-07-21,129.0,132.0,124.0,128.0,60
2023-07-24,127.0,129.0,121.0,124.0,158
2023-07-25,122.0,129.0,113.0,129.0,317
2023-07-26,117.0,123.0,114.0,123.0,92
2023-07-27,115.0,118.0,111.0,114.0,462
2023-07-28,117.0,119.0,113.0,113.0,129
2023-07-31,120.0,123.0,116.0,117.0,150
2023-08-01,121.0,123.0,120.0,120.0,10
2023-08-02,123.0,123.0,115.0,121.0,130
2023-08-03,122.0,128.0,116.0,128.0,121
2023-08-04,120.0,129.0,118.0,125.0,137
2023-08-07,126.0,128.0,121.0,121.0,114
2023-08-08,128.0,130.0,123.0,126.0,519
2023-08-09,128.0,130.0,120.0,120.0,66
2023-08-10,126.0,127.0,122.0,127.0,125
2023-08-11,122.0,124.0,116.0,123.0,63
2023-08-14,123.0,128.0,117.0,128.0,31
2023-08-15,123.0,124.0,114.0,119.0,197
2023-08-16,122.0,128.0,120.0,128.0,309
2023-08-17,127.0,127.0,118.0,120.0,190
2023-08-18,126.0,127.0,120.0,120.0,153
2023-08-21,127.0,127.0,121.0,122.0,224
2023-08-22,130.0,135.0,122.0,127.0,332
2023-08-23,126.0,129.0,124.0,129.0,249
2023-08-24,124.0,128.0,120.0,122.0,216
2023-08-25,129.0,129.0,120.0,126.0,270
2023-08-28,120.0,127.0,115.0,127.0,644
2023-08-29,110.0,119.0,108.0,116.0,559
2023-08-30,113.0,115.0,109.0,115.0,226
2023-08-31,117.0,118.0,110.0,115.0,867
2023-09-01,116.0,118.0,103.0,118.0,678
2023-09-05,115.0,117.0,109.0,115.0,420
2023-09-06,116.0,117.0,114.0,115.0,713
2023-09-07,106.0,115.0,101.0,115.0,470
2023-09-08,105.0,110.0,104.0,105.0,252
2023-09-11,112.0,118.0,101.0,108.0,709
2023-09-12,129.0,137.0,110.0,110.0,1529
2023-09-13,135.0,138.0,127.0,134.0,289
2023-09-14,136.0,138.0,130.0,133.0,329
2023-09-15,148.0,148.0,136.0,136.0,730
2023-09-18,156.0,186.0,144.0,149.0,2633
2023-09-19,160.0,161.0,143.0,155.0,1141
2023-09-20,145.0,161.0,140.0,155.0,6203
2023-09-21,123.0,147.0,121.0,143.0,1122
2023-09-22,119.0,124.0,111.0,120.0,1027
2023-09-25,120.0,120.0,114.0,118.0,228
2023-09-26,132.0,132.0,114.0,115.0,897
2023-09-27,145.0,148.0,134.0,139.0,775
2023-09-28,151.0,154.0,142.0,142.0,1123
2023-09-29,102.0,151.0,90.0,150.0,26706
2023-10-02,104.0,110.0,100.0,109.0,1888
2023-10-03,83.0,109.0,72.0,109.0,3021
2023-10-04,77.0,83.0,75.0,80.0,991
2023-10-05,73.0,85.0,73.0,85.0,1751
2023-10-06,69.0,78.0,65.0,71.0,1441
2023-10-09,64.0,75.0,61.0,73.0,470
2023-10-10,63.0,71.0,62.0,69.0,893
2023-10-11,61.0,66.0,47.0,65.0,1582
2023-10-12,62.0,63.0,53.0,58.0,830
2023-10-13,58.0,60.0,56.0,60.0,259
2023-10-16,55.0,58.0,53.0,56.0,371
2023-10-17,53.0,54.0,51.0,54.0,408
2023-10-18,37.0,54.0,24.0,54.0,15506
2023-10-19,40.0,40.0,32.0,35.0,3867
2023-10-20,35.0,41.0,35.0,38.0,2375
2023-10-23,29.0,34.0,27.0,32.0,2099
2023-10-24,26.0,33.0,26.0,28.0,2898
2023-10-25,28.0,31.0,25.0,28.0,3138
2023-10-26,26.0,31.0,25.0,27.0,4859
2023-10-27,26.0,28.0,26.0,26.0,561
2023-10-30,23.0,30.0,23.0,26.0,2971
2023-10-31,21.0,24.0,20.0,24.0,3650
2023-11-01,21.0,25.0,19.0,25.0,2883
2023-11-02,22.0,22.0,18.0,20.0,4797
2023-11-03,23.0,25.0,20.0,22.0,1823
2023-11-06,33.0,36.0,24.0,24.0,15572
2023-11-07,22.0,38.0,22.0,38.0,13660
2023-11-08,23.0,26.0,22.0,23.0,3392
2023-11-09,22.0,24.0,21.0,24.0,1894
2023-11-10,22.0,23.0,22.0,22.0,915
2023-11-13,22.0,23.0,22.0,23.0,1475
2023-11-14,24.0,25.0,21.0,22.0,2412
2023-11-15,25.0,26.0,23.0,23.0,1833
2023-11-16,23.0,24.0,23.0,23.0,1310
2023-11-17,23.0,25.0,23.0,23.0,1053
2023-11-20,24.0,26.0,23.0,23.0,1124
2023-11-21,27.0,44.0,25.0,26.0,25727
2023-11-22,30.0,35.0,24.0,27.0,4815
2023-11-24,31.0,33.0,30.0,30.0,1024
2023-11-27,31.0,33.0,29.0,33.0,1097
2023-11-28,30.0,32.0,30.0,30.0,423
2023-11-29,30.0,30.0,28.0,30.0,624
2023-11-30,29.0,32.0,28.0,30.0,246
2023-12-01,30.0,32.0,29.0,32.0,241
2023-12-04,30.0,32.0,28.0,32.0,984
2023-12-05,32.0,33.0,28.0,28.0,3493
2023-12-06,31.0,33.0,31.0,33.0,312
2023-12-07,29.0,31.0,29.0,31.0,266
2023-12-08,29.0,30.0,29.0,30.0,739
2023-12-11,29.0,32.0,28.0,30.0,987
2023-12-12,31.0,31.0,27.0,30.0,673
2023-12-13,29.0,32.0,28.0,31.0,267
2023-12-14,38.0,42.0,30.0,30.0,3710
2023-12-15,40.0,40.0,32.0,35.0,1222
2023-12-18,59.0,59.0,39.0,39.0,7074
2023-12-19,59.0,60.0,46.0,52.0,6440
2023-12-20,48.0,59.0,41.0,58.0,5764
2023-12-21,37.0,51.0,35.0,49.0,4558
2023-12-22,40.0,40.0,32.0,38.0,2202
2023-12-26,39.0,42.0,34.0,40.0,2884
2023-12-27,38.0,38.0,30.0,38.0,3431
2023-12-28,38.0,39.0,34.0,34.0,1853
2023-12-29,37.0,37.0,35.0,36.0,1678
2024-01-02,35.0,38.0,34.0,36.0,1721
2024-01-03,34.0,38.0,33.0,35.0,2359
2024-01-04,33.0,35.0,33.0,35.0,494
2024-01-05,35.0,37.0,31.0,33.0,2124
2024-01-08,34.0,36.0,34.0,35.0,317
2024-01-09,34.0,35.0,33.0,35.0,976
2024-01-10,36.0,37.0,34.0,34.0,846
2024-01-11,34.0,37.0,30.0,36.0,951
2024-01-12,33.0,36.0,31.0,33.0,471
2024-01-16,35.0,36.0,31.0,34.0,1440
2024-01-17,33.0,35.0,32.0,34.0,259
2024-01-18,34.0,35.0,33.0,34.0,439
2024-01-19,33.0,34.0,29.0,33.0,1090
2024-01-22,36.0,40.0,33.0,33.0,1216
2024-01-23,38.0,38.0,36.0,36.0,326
2024-01-24,35.0,39.0,34.0,39.0,1364
2024-01-25,37.0,37.0,34.0,35.0,186
2024-01-26,36.0,37.0,35.0,37.0,819
2024-01-29,34.0,37.0,34.0,35.0,240
2024-01-30,34.0,36.0,32.0,35.0,481
2024-01-31,33.0,35.0,32.0,33.0,383
