Date,Close,High,Low,Open,Volume
,AEHL,AEHL,AEHL,AEHL,AEHL
2023-04-17,416.0,416.0,400.0,400.0,39
2023-04-18,424.0,428.0,416.0,416.0,543
2023-04-19,420.0,424.0,412.0,424.0,106
2023-04-20,428.0,428.0,408.0,420.0,287
2023-04-21,428.0,432.0,408.0,424.0,364
2023-04-24,420.0,440.0,412.0,420.0,595
2023-04-25,424.0,424.0,408.0,424.0,248
2023-04-26,428.0,432.0,408.0,412.0,31
2023-04-27,420.0,436.0,412.0,420.0,50
2023-04-28,436.0,440.0,424.0,436.0,195
2023-05-01,440.0,468.0,420.0,428.0,904
2023-05-02,456.0,496.0,412.0,464.0,609
2023-05-03,452.0,472.0,440.0,456.0,78
2023-05-04,452.0,452.0,428.0,444.0,75
2023-05-05,452.0,456.0,392.0,412.0,217
2023-05-08,456.0,464.0,412.0,456.0,139
2023-05-09,448.0,460.0,420.0,460.0,178
2023-05-10,436.0,452.0,424.0,452.0,75
2023-05-11,444.0,444.0,416.0,436.0,102
2023-05-12,452.0,456.0,424.0,428.0,398
2023-05-15,460.0,460.0,420.0,452.0,703
2023-05-16,480.0,480.0,432.0,456.0,505
2023-05-17,520.0,520.0,484.0,492.0,746
2023-05-18,500.0,552.0,468.0,528.0,556
2023-05-19,564.0,564.0,492.0,520.0,198
2023-05-22,612.0,640.0,576.0,588.0,546
2023-05-23,568.0,656.0,512.0,616.0,4333
2023-05-24,556.0,568.0,520.0,560.0,708
2023-05-25,524.0,604.0,492.0,556.0,1264
2023-05-26,488.0,536.0,444.0,520.0,601
2023-05-30,512.0,512.0,460.0,476.0,310
2023-05-31,500.0,520.0,480.0,508.0,605
2023-06-01,496.0,536.0,460.0,504.0,562
2023-06-02,480.0,512.0,452.0,484.0,668
2023-06-05,428.0,480.0,412.0,452.0,1238
2023-06-06,464.0,464.0,432.0,436.0,936
2023-06-07,436.0,468.0,412.0,444.0,836
2023-06-08,416.0,440.0,400.0,420.0,359
2023-06-09,384.0,424.0,364.0,408.0,1208
2023-06-12,360.0,396.0,344.0,372.0,719
2023-06-13,320.0,380.0,316.0,356.0,714
2023-06-14,348.0,352.0,320.0,320.0,488
2023-06-15,356.0,356.0,340.0,344.0,278
2023-06-16,352.0,360.0,340.0,352.0,279
2023-06-20,352.0,360.0,336.0,336.0,441
2023-06-21,340.0,360.0,328.0,356.0,243
2023-06-22,348.0,352.0,340.0,352.0,167
2023-06-23,356.0,356.0,336.0,336.0,195
2023-06-26,344.0,372.0,344.0,356.0,162
2023-06-27,360.0,376.0,352.0,376.0,100
2023-06-28,360.0,372.0,340.0,368.0,213
2023-06-29,332.0,368.0,332.0,368.0,440
2023-06-30,344.0,352.0,332.0,336.0,144
2023-07-03,344.0,344.0,320.0,344.0,61
2023-07-05,332.0,352.0,316.0,336.0,213
2023-07-06,328.0,332.0,316.0,332.0,130
2023-07-07,336.0,348.0,316.0,340.0,151
2023-07-10,320.0,348.0,312.0,348.0,201
2023-07-11,320.0,332.0,312.0,320.0,200
2023-07-12,316.0,332.0,308.0,332.0,57
2023-07-13,292.0,340.0,280.0,316.0,224
2023-07-14,268.0,288.0,244.0,288.0,319
2023-07-17,276.0,280.0,268.0,268.0,94
2023-07-18,268.0,292.0,252.0,280.0,340
2023-07-19,272.0,296.0,256.0,280.0,789
2023-07-20,232.0,292.0,220.0,292.0,1241
2023-07-21,244.0,248.0,216.0,228.0,447
2023-07-24,248.0,248.0,220.0,244.0,299
2023-07-25,240.0,248.0,224.0,248.0,336
2023-07-26,236.0,248.0,224.0,248.0,240
2023-07-27,236.0,244.0,228.0,244.0,167
2023-07-28,236.0,248.0,224.0,248.0,817
2023-07-31,248.0,248.0,224.0,228.0,1087
2023-08-01,272.0,288.0,236.0,248.0,728
2023-08-02,280.0,284.0,260.0,268.0,575
2023-08-03,264.0,284.0,256.0,280.0,331
2023-08-04,276.0,284.0,260.0,284.0,481
2023-08-07,280.0,280.0,252.0,280.0,575
2023-08-08,272.0,280.0,256.0,272.0,411
2023-08-09,264.0,272.0,248.0,272.0,179
2023-08-10,312.0,312.0,244.0,260.0,641
2023-08-11,332.0,348.0,300.0,300.0,1826
2023-08-14,320.0,344.0,312.0,332.0,908
2023-08-15,324.0,336.0,312.0,336.0,175
2023-08-16,324.0,336.0,308.0,328.0,371
2023-08-17,268.0,340.0,260.0,324.0,500
2023-08-18,288.0,292.0,260.0,272.0,402
2023-08-21,276.0,288.0,256.0,284.0,124
2023-08-22,260.0,268.0,240.0,260.0,851
2023-08-23,248.0,260.0,228.0,260.0,229
2023-08-24,220.0,248.0,208.0,224.0,230
2023-08-25,200.0,284.0,188.0,220.0,4234
2023-08-28,180.0,192.0,168.0,192.0,1515
2023-08-29,164.0,188.0,136.0,184.0,2493
2023-08-30,148.0,164.0,140.0,160.0,1469
2023-08-31,152.0,156.0,144.0,144.0,341
2023-09-01,168.0,168.0,152.0,152.0,277
2023-09-05,152.0,164.0,148.0,164.0,95
2023-09-06,148.0,156.0,140.0,152.0,196
2023-09-07,148.0,156.0,140.0,148.0,144
2023-09-08,148.0,152.0,144.0,148.0,109
2023-09-11,144.0,148.0,140.0,148.0,594
